t_s,head_x_mm,head_y_mm,head_z_mm,pitch_deg,yaw_deg,roll_deg,head_dx_mm,head_dy_mm,head_dz_mm,off_x,off_y,off_z,off_b,off_c,confidence,tracking_ok
0.7167,11.254,8.373,607.968,3.868,7.515,2.871,-0.26,11.254,-2.575,-0.2596,11.2544,-2.5751,1.7698,0.0,1.0,1
0.7333,11.474,8.41,607.962,3.947,7.583,2.855,-0.253,11.474,-2.613,-0.2533,11.4736,-2.6125,1.8096,0.0,1.0,1
0.75,11.69,8.447,607.955,4.025,7.651,2.838,-0.246,11.69,-2.649,-0.2465,11.6901,-2.6489,1.8493,0.0,1.0,1
0.7667,11.904,8.482,607.948,4.103,7.718,2.82,-0.239,11.904,-2.684,-0.2391,11.9036,-2.6841,1.8888,0.0,1.0,1
0.7833,12.114,8.516,607.94,4.179,7.784,2.801,-0.231,12.114,-2.718,-0.2311,12.1142,-2.7182,1.9281,0.0,1.0,1
0.8,12.322,8.549,607.931,4.256,7.85,2.782,-0.223,12.322,-2.751,-0.2226,12.3218,-2.7512,1.9672,0.0,1.0,1
0.8167,12.526,8.581,607.922,4.331,7.914,2.761,-0.214,12.526,-2.783,-0.2136,12.5264,-2.783,2.0061,0.0,1.0,1
0.8333,12.728,8.612,607.912,4.405,7.978,2.74,-0.204,12.728,-2.814,-0.204,12.7279,-2.8137,2.0449,0.0,1.0,1
0.85,12.926,8.641,607.902,4.479,8.04,2.718,-0.194,12.926,-2.843,-0.1938,12.9263,-2.8432,2.0834,0.0,1.0,1
0.8667,13.121,8.67,607.892,4.552,8.102,2.695,-0.183,13.121,-2.872,-0.1831,13.1214,-2.8716,2.1217,1.0022,1.0,1
0.8833,13.313,8.697,607.88,4.624,8.163,2.671,-0.172,13.313,-2.899,-0.1718,13.3134,-2.8989,2.1598,1.0104,1.0,1
0.9,13.502,8.723,607.868,4.695,8.223,2.646,-0.16,13.502,-2.925,-0.16,13.502,-2.925,2.1977,1.0182,1.0,1
0.9167,13.687,8.748,607.856,4.765,8.282,2.621,-0.148,13.687,-2.95,-0.1476,13.6873,-2.9499,2.2353,1.0257,1.0,1
0.9333,13.869,8.772,607.843,4.834,8.341,2.594,-0.135,13.869,-2.974,-0.1347,13.8692,-2.9737,2.2727,1.0328,1.0,1
0.95,14.048,8.794,607.83,4.903,8.398,2.567,-0.121,14.048,-2.996,-0.1212,14.0477,-2.9964,2.3099,1.0396,1.0,1
0.9667,14.223,8.816,607.816,4.97,8.454,2.539,-0.107,14.223,-3.018,-0.1072,14.2228,-3.0178,2.3468,1.0461,1.0,1
0.9833,14.394,8.836,607.801,5.037,8.51,2.51,-0.093,14.394,-3.038,-0.0926,14.3943,-3.0381,2.3834,1.0523,1.0,1
1.0,14.562,8.855,607.786,5.103,8.564,2.48,-0.077,14.562,-3.057,-0.0775,14.5623,-3.0572,2.4198,1.0582,1.0,1
1.0167,14.727,8.873,607.77,5.168,8.618,2.45,-0.062,14.727,-3.075,-0.0618,14.7267,-3.0751,2.4559,1.0638,1.0,1
1.0333,14.887,8.89,607.754,5.231,8.671,2.419,-0.046,14.887,-3.092,-0.0456,14.8875,-3.0919,2.4917,1.069,1.0,1
1.05,15.045,8.905,607.737,5.294,8.722,2.387,-0.029,15.045,-3.107,-0.0288,15.0445,-3.1075,2.5272,1.074,1.0,1
1.0667,15.198,8.92,607.72,5.356,8.773,2.354,-0.012,15.198,-3.122,-0.0115,15.1979,-3.1219,2.5624,1.0787,1.0,1
1.0833,15.348,8.933,607.702,5.417,8.823,2.321,0.006,15.348,-3.135,0.0063,15.3475,-3.1351,2.5973,1.0831,1.0,1
1.1,15.493,8.945,607.684,5.477,8.872,2.286,0.025,15.493,-3.147,0.0247,15.4934,-3.1471,2.6319,1.0872,1.0,1
1.1167,15.635,8.956,607.665,5.536,8.919,2.252,0.044,15.635,-3.158,0.0437,15.6354,-3.158,2.6662,1.0911,1.0,1
1.1333,15.774,8.966,607.645,5.593,8.966,2.216,0.063,15.774,-3.168,0.0631,15.7735,-3.1676,2.7002,1.0947,1.0,1
1.15,15.908,8.974,607.625,5.65,9.012,2.18,0.083,15.908,-3.176,0.0831,15.9078,-3.1761,2.7338,1.0981,1.0,1
1.1667,16.038,8.981,607.605,5.706,9.057,2.142,0.104,16.038,-3.183,0.1037,16.0381,-3.1834,2.7671,1.1012,1.0,1
1.1833,16.164,8.987,607.584,5.761,9.101,2.105,0.125,16.164,-3.189,0.1247,16.1645,-3.1894,2.8001,1.104,1.0,1
1.2,16.287,8.992,607.562,5.814,9.144,2.066,0.146,16.287,-3.194,0.1463,16.2869,-3.1943,2.8327,1.1066,1.0,1
1.2167,16.405,8.996,607.54,5.867,9.186,2.027,0.168,16.405,-3.198,0.1685,16.4053,-3.198,2.8649,1.109,1.0,1
1.2333,16.52,8.998,607.517,5.918,9.227,1.988,0.191,16.52,-3.201,0.1911,16.5196,-3.2005,2.8967,1.1112,1.0,1
1.25,16.63,9.0,607.494,5.968,9.266,1.947,0.214,16.63,-3.202,0.2143,16.6298,-3.2018,2.9282,1.1131,1.0,1
1.2667,16.736,9.0,607.47,6.018,9.305,1.906,0.238,16.736,-3.202,0.238,16.736,-3.2019,2.9593,1.1149,1.0,1
1.2833,16.838,8.999,607.446,6.066,9.343,1.865,0.262,16.838,-3.201,0.2623,16.838,-3.2009,2.99,1.1164,1.0,1
1.3,16.936,8.997,607.421,6.113,9.38,1.823,0.287,16.936,-3.199,0.2871,16.9359,-3.1986,3.0204,1.1177,1.0,1
1.3167,17.03,8.993,607.396,6.159,9.416,1.78,0.312,17.03,-3.195,0.3123,17.0295,-3.1951,3.0503,1.1189,1.0,1
1.3333,17.119,8.988,607.37,6.203,9.451,1.737,0.338,17.119,-3.19,0.3381,17.119,-3.1905,3.0798,1.1198,1.0,1
1.35,17.204,8.983,607.344,6.247,9.484,1.693,0.364,17.204,-3.185,0.3645,17.2043,-3.1846,3.1089,1.1206,1.0,1
1.3667,17.285,8.976,607.317,6.289,9.517,1.649,0.391,17.285,-3.178,0.3913,17.2853,-3.1776,3.1375,1.1211,1.0,1
1.3833,17.362,8.967,607.29,6.331,9.549,1.604,0.419,17.362,-3.169,0.4186,17.362,-3.1693,3.1657,1.1215,1.0,1
1.4,17.434,8.958,607.262,6.371,9.579,1.558,0.447,17.434,-3.16,0.4465,17.4345,-3.1599,3.1935,1.1218,1.0,1
1.4167,17.503,8.947,607.234,6.41,9.609,1.512,0.475,17.503,-3.149,0.4749,17.5027,-3.1493,3.2209,1.1218,1.0,1
1.4333,17.567,8.935,607.205,6.447,9.637,1.466,0.504,17.567,-3.137,0.5038,17.5665,-3.1375,3.2478,1.1218,1.0,1
1.45,17.626,8.922,607.175,6.484,9.665,1.419,0.533,17.626,-3.124,0.5331,17.626,-3.1245,3.2742,1.1215,1.0,1
1.4667,17.681,8.908,607.145,6.519,9.691,1.372,0.563,17.681,-3.11,0.563,17.6812,-3.1103,3.3001,1.1212,1.0,1
1.4833,17.732,8.893,607.115,6.553,9.716,1.324,0.593,17.732,-3.095,0.5934,17.732,-3.095,3.3256,1.1207,1.0,1
1.5,17.778,8.876,607.084,6.586,9.74,1.276,0.624,17.778,-3.078,0.6243,17.7784,-3.0784,3.3506,1.12,1.0,1
1.5167,17.82,8.859,607.053,6.618,9.764,1.228,0.656,17.82,-3.061,0.6557,17.8204,-3.0607,3.3751,1.1192,1.0,1
1.5333,17.858,8.84,607.021,6.648,9.786,1.179,0.688,17.858,-3.042,0.6876,17.8581,-3.0418,3.3991,1.1183,1.0,1
1.55,17.891,8.82,606.989,6.677,9.807,1.129,0.72,17.891,-3.022,0.72,17.8913,-3.0218,3.4227,1.1173,1.0,1
1.5667,17.92,8.798,606.956,6.705,9.827,1.08,0.753,17.92,-3.001,0.7528,17.9201,-3.0005,3.4457,1.1162,1.0,1
1.5833,17.945,8.776,606.922,6.732,9.846,1.03,0.786,17.945,-2.978,0.7862,17.9445,-2.9781,3.4682,1.1149,1.0,1
1.6,17.964,8.753,606.888,6.758,9.863,0.979,0.82,17.964,-2.955,0.82,17.9645,-2.9546,3.4901,1.1136,1.0,1
1.6167,17.98,8.728,606.854,6.782,9.88,0.929,0.854,17.98,-2.93,0.8543,17.98,-2.9299,3.5116,1.1121,1.0,1
1.6333,17.991,8.702,606.819,6.805,9.896,0.878,0.889,17.991,-2.904,0.8891,17.9911,-2.904,3.5325,1.1106,1.0,1
1.65,17.998,8.675,606.784,6.827,9.91,0.827,0.924,17.998,-2.877,0.9244,17.9978,-2.8769,3.5528,1.1089,1.0,1
1.6667,18.0,8.647,606.748,6.847,9.924,0.775,0.96,18.0,-2.849,0.9602,18.0,-2.8487,3.5727,1.1072,1.0,1
1.6833,17.998,8.617,606.712,6.866,9.936,0.723,0.996,17.998,-2.819,0.9964,17.9978,-2.8194,3.5919,1.1053,1.0,1
1.7,17.991,8.587,606.675,6.884,9.947,0.672,1.033,17.991,-2.789,1.0331,17.9911,-2.7889,3.6106,1.1034,1.0,1
1.7167,17.98,8.555,606.638,6.901,9.958,0.619,1.07,17.98,-2.757,1.0703,17.98,-2.7573,3.6287,1.1015,1.0,1
1.7333,17.964,8.523,606.601,6.916,9.967,0.567,1.108,17.964,-2.725,1.1079,17.9645,-2.7246,3.6463,1.0994,1.0,1
1.75,17.945,8.489,606.562,6.93,9.975,0.514,1.146,17.945,-2.691,1.146,17.9445,-2.6907,3.6633,1.0973,1.0,1
1.7667,17.92,8.454,606.524,6.943,9.982,0.462,1.185,17.92,-2.656,1.1846,17.9201,-2.6557,3.6797,1.0951,1.0,1
1.7833,17.891,8.417,606.485,6.954,9.987,0.409,1.224,17.891,-2.62,1.2236,17.8913,-2.6195,3.6955,1.0928,1.0,1
1.8,17.858,8.38,606.445,6.965,9.992,0.356,1.263,17.858,-2.582,1.2631,17.8581,-2.5823,3.7107,1.0905,1.0,1
1.8167,17.82,8.342,606.405,6.974,9.996,0.303,1.303,17.82,-2.544,1.303,17.8204,-2.5439,3.7253,1.0881,1.0,1
1.8333,17.778,8.302,606.365,6.981,9.998,0.25,1.343,17.778,-2.504,1.3434,17.7784,-2.5045,3.7393,1.0857,1.0,1
1.85,17.732,8.262,606.324,6.988,10.0,0.196,1.384,17.732,-2.464,1.3842,17.732,-2.4639,3.7526,1.0832,1.0,1
1.8667,17.681,8.22,606.283,6.993,10.0,0.143,1.425,17.681,-2.422,1.4255,17.6812,-2.4222,3.7654,1.0806,1.0,1
1.8833,17.626,8.177,606.241,6.996,9.999,0.09,1.467,17.626,-2.379,1.4672,17.626,-2.3795,3.7775,1.0781,1.0,1
1.9,17.567,8.134,606.199,6.999,9.997,0.036,1.509,17.567,-2.336,1.5093,17.5665,-2.3356,3.789,1.0754,1.0,1
1.9167,17.503,8.089,606.157,7.0,9.994,-0.017,1.552,17.503,-2.291,1.5519,17.5027,-2.2907,3.7999,1.0727,1.0,1
1.9333,17.434,8.043,606.114,7.0,9.99,-0.07,1.595,17.434,-2.245,1.5949,17.4345,-2.2447,3.8101,1.07,1.0,1
1.95,17.362,7.996,606.07,6.998,9.985,-0.124,1.638,17.362,-2.198,1.6383,17.362,-2.1976,3.8197,1.0672,1.0,1
1.9667,17.285,7.947,606.026,6.996,9.979,-0.177,1.682,17.285,-2.15,1.6822,17.2853,-2.1495,3.8286,1.0644,1.0,1
1.9833,17.204,7.898,605.982,6.992,9.972,-0.23,1.726,17.204,-2.1,1.7265,17.2043,-2.1003,3.8369,1.0615,1.0,1
2.0,17.119,7.848,605.937,6.986,9.963,-0.284,1.771,17.119,-2.05,1.7712,17.119,-2.0501,3.8445,1.0586,1.0,1
2.0167,17.03,7.797,605.892,6.98,9.954,-0.337,1.816,17.03,-1.999,1.8163,17.0295,-1.9989,3.8515,1.0557,1.0,1
2.0333,16.936,7.745,605.847,6.972,9.943,-0.39,1.862,16.936,-1.947,1.8619,16.9359,-1.9466,3.8577,1.0527,1.0,1
2.05,16.838,7.691,605.801,6.962,9.931,-0.443,1.908,16.838,-1.893,1.9078,16.838,-1.8932,3.8633,1.0497,1.0,1
2.0667,16.736,7.637,605.754,6.952,9.919,-0.495,1.954,16.736,-1.839,1.9542,16.736,-1.8389,3.8683,1.0466,1.0,1
2.0833,16.63,7.581,605.708,6.94,9.905,-0.548,2.001,16.63,-1.784,2.0009,16.6298,-1.7835,3.8725,1.0435,1.0,1
2.1,16.52,7.525,605.66,6.927,9.89,-0.6,2.048,16.52,-1.727,2.0481,16.5196,-1.7271,3.8761,1.0404,1.0,1
2.1167,16.405,7.468,605.613,6.913,9.874,-0.653,2.096,16.405,-1.67,2.0957,16.4053,-1.6698,3.8789,1.0372,1.0,1
2.1333,16.287,7.409,605.565,6.897,9.856,-0.705,2.144,16.287,-1.611,2.1436,16.2869,-1.6114,3.8811,1.034,1.0,1
2.15,16.164,7.35,605.516,6.88,9.838,-0.756,2.192,16.164,-1.552,2.192,16.1645,-1.5521,3.8826,1.0308,1.0,1
2.1667,16.038,7.29,605.468,6.862,9.819,-0.808,2.241,16.038,-1.492,2.2407,16.0381,-1.4918,3.8834,1.0275,1.0,1
2.1833,15.908,7.228,605.419,6.842,9.799,-0.859,2.29,15.908,-1.43,2.2898,15.9078,-1.4305,3.8835,1.0242,1.0,1
2.2,15.774,7.166,605.369,6.822,9.777,-0.91,2.339,15.774,-1.368,2.3393,15.7735,-1.3682,3.8828,1.0208,1.0,1
2.2167,15.635,7.103,605.319,6.8,9.755,-0.961,2.389,15.635,-1.305,2.3892,15.6354,-1.305,3.8815,1.0174,1.0,1
2.2333,15.493,7.039,605.269,6.776,9.731,-1.012,2.439,15.493,-1.241,2.4394,15.4934,-1.2409,3.8795,1.0139,1.0,1
2.25,15.348,6.974,605.218,6.752,9.706,-1.062,2.49,15.348,-1.176,2.49,15.3475,-1.1758,3.8767,1.0104,1.0,1
2.2667,15.198,6.908,605.167,6.726,9.681,-1.111,2.541,15.198,-1.11,2.541,15.1979,-1.1098,3.8733,1.0069,1.0,1
2.2833,15.045,6.841,605.116,6.699,9.654,-1.161,2.592,15.045,-1.043,2.5924,15.0445,-1.0429,3.8691,1.0032,1.0,1
2.3,14.887,6.773,605.064,6.671,9.626,-1.21,2.644,14.887,-0.975,2.6441,14.8875,-0.9751,3.8642,0.9996,1.0,1
2.3167,14.727,6.704,605.012,6.641,9.597,-1.259,2.696,14.727,-0.906,2.6961,14.7267,-0.9064,3.8586,0.9959,1.0,1
2.3333,14.562,6.635,604.96,6.611,9.567,-1.307,2.749,14.562,-0.837,2.7485,14.5623,-0.8368,3.8522,0.9921,1.0,1
2.35,14.394,6.564,604.907,6.579,9.536,-1.355,2.801,14.394,-0.766,2.8013,14.3943,-0.7663,3.8452,0.9882,1.0,1
2.3667,14.223,6.493,604.854,6.546,9.504,-1.402,2.854,14.223,-0.695,2.8544,14.2228,-0.6949,3.8374,0.9843,1.0,1
2.3833,14.048,6.421,604.801,6.511,9.471,-1.449,2.908,14.048,-0.623,2.9078,14.0477,-0.6227,3.8289,0.9804,1.0,1
2.4,13.869,6.348,604.747,6.476,9.437,-1.496,2.962,13.869,-0.55,2.9616,13.8692,-0.5496,3.8197,0.9763,1.0,1
2.4167,13.687,6.274,604.693,6.439,9.402,-1.542,3.016,13.687,-0.476,3.0157,13.6873,-0.4757,3.8097,0.9722,1.0,1
2.4333,13.502,6.199,604.638,6.401,9.366,-1.587,3.07,13.502,-0.401,3.0702,13.502,-0.401,3.7991,0.968,1.0,1
2.45,13.313,6.123,604.584,6.362,9.328,-1.632,3.125,13.313,-0.325,3.1249,13.3134,-0.3254,3.7877,0.9637,1.0,1
2.4667,13.121,6.047,604.528,6.321,9.29,-1.677,3.18,13.121,-0.249,3.18,13.1214,-0.249,3.7755,0.9594,1.0,1
2.4833,12.926,5.97,604.473,6.28,9.251,-1.721,3.235,12.926,-0.172,3.2354,12.9263,-0.1718,3.7627,0.9549,1.0,1
2.5,12.728,5.892,604.417,6.237,9.211,-1.764,3.291,12.728,-0.094,3.2912,12.7279,-0.0939,3.7491,0.9504,1.0,1
2.5167,12.526,5.813,604.361,6.193,9.169,-1.807,3.347,12.526,-0.015,3.3472,12.5264,-0.0151,3.7348,0.9458,1.0,1
2.5333,12.322,5.734,604.305,6.148,9.127,-1.85,3.404,12.322,0.064,3.4035,12.3218,0.0644,3.7198,0.941,1.0,1
2.55,12.114,5.653,604.248,6.102,9.084,-1.891,3.46,12.114,0.145,3.4602,12.1142,0.1447,3.7041,0.9362,1.0,1
2.5667,11.904,5.572,604.191,6.055,9.039,-1.933,3.517,11.904,0.226,3.5171,11.9036,0.2257,3.6876,0.9312,1.0,1
2.5833,11.69,5.49,604.134,6.006,8.994,-1.973,3.574,11.69,0.308,3.5743,11.6901,0.3075,3.6704,0.9261,1.0,1
2.6,11.474,5.408,604.077,5.957,8.948,-2.013,3.632,11.474,0.39,3.6319,11.4736,0.39,3.6525,0.9209,1.0,1
2.6167,11.254,5.325,604.019,5.906,8.901,-2.052,3.69,11.254,0.473,3.6897,11.2544,0.4733,3.6339,0.9156,1.0,1
2.6333,11.032,5.241,603.961,5.855,8.852,-2.091,3.748,11.032,0.557,3.7478,11.0323,0.5572,3.6146,0.9102,1.0,1
2.65,10.808,5.156,603.902,5.802,8.803,-2.129,3.806,10.808,0.642,3.8061,10.8076,0.6418,3.5946,0.9046,1.0,1
2.6667,10.58,5.071,603.844,5.748,8.753,-2.166,3.865,10.58,0.727,3.8648,10.5801,0.7271,3.5739,0.8989,1.0,1
2.6833,10.35,4.985,603.785,5.693,8.702,-2.203,3.924,10.35,0.813,3.9237,10.3501,0.8131,3.5525,0.893,1.0,1
2.7,10.118,4.898,603.726,5.637,8.65,-2.239,3.983,10.118,0.9,3.9829,10.1175,0.8998,3.5304,0.8869,1.0,1
2.7167,9.882,4.811,603.666,5.58,8.597,-2.274,4.042,9.882,0.987,4.0423,9.8824,0.9871,3.5075,0.8808,1.0,1
2.7333,9.645,4.723,603.606,5.522,8.543,-2.308,4.102,9.645,1.075,4.102,9.6449,1.075,3.484,0.8744,1.0,1
2.75,9.405,4.634,603.547,5.463,8.488,-2.342,4.162,9.405,1.164,4.162,9.405,1.1636,3.4598,0.8679,1.0,1
2.7667,9.163,4.545,603.486,5.403,8.432,-2.375,4.222,9.163,1.253,4.2222,9.1627,1.2527,3.435,0.8612,1.0,1
2.7833,8.918,4.455,603.426,5.342,8.375,-2.407,4.283,8.918,1.343,4.2826,8.9183,1.3425,3.4094,0.8543,1.0,1
2.8,8.672,4.365,603.365,5.28,8.318,-2.439,4.343,8.672,1.433,4.3433,8.6716,1.4329,3.3832,0.8472,1.0,1
2.8167,8.423,4.274,603.304,5.217,8.259,-2.47,4.404,8.423,1.524,4.4042,8.4227,1.5238,3.3563,0.84,1.0,1
2.8333,8.172,4.183,603.243,5.153,8.2,-2.499,4.465,8.172,1.615,4.4654,8.1718,1.6154,3.3288,0.8325,1.0,1
2.85,7.919,4.091,603.182,5.088,8.139,-2.529,4.527,7.919,1.707,4.5267,7.9189,1.7074,3.3005,0.8248,1.0,1
2.8667,7.664,3.998,603.12,5.022,8.078,-2.557,4.588,7.664,1.8,4.5883,7.664,1.8,3.2717,0.8169,1.0,1
2.8833,7.407,3.905,603.058,4.955,8.016,-2.584,4.65,7.407,1.893,4.6502,7.4073,1.8932,3.2422,0.8088,1.0,1
2.9,7.149,3.811,602.996,4.887,7.953,-2.611,4.712,7.149,1.987,4.7122,7.1487,1.9869,3.212,0.8005,1.0,1
2.9167,6.888,3.717,602.934,4.818,7.889,-2.637,4.774,6.888,2.081,4.7744,6.8883,2.081,3.1813,0.7919,1.0,1
2.9333,6.626,3.622,602.872,4.749,7.824,-2.662,4.837,6.626,2.176,4.8369,6.6262,2.1757,3.1499,0.7831,1.0,1
2.95,6.363,3.527,602.809,4.678,7.758,-2.686,4.9,6.363,2.271,4.8996,6.3625,2.2708,3.1178,0.7741,1.0,1
2.9667,6.097,3.432,602.746,4.607,7.692,-2.71,4.962,6.097,2.366,4.9624,6.0973,2.3664,3.0852,0.7648,1.0,1
2.9833,5.831,3.335,602.683,4.535,7.625,-2.732,5.025,5.831,2.463,5.0254,5.8305,2.4625,3.052,0.7552,1.0,1
3.0,5.562,3.239,602.62,4.462,7.556,-2.754,5.089,5.562,2.559,5.0887,5.5623,2.559,3.0181,0.7454,1.0,1
3.0167,5.293,3.142,602.556,4.388,7.487,-2.775,5.152,5.293,2.656,5.1521,5.2927,2.656,2.9837,0.7353,1.0,1
3.0333,5.022,3.045,602.493,4.313,7.418,-2.794,5.216,5.022,2.753,5.2157,5.0218,2.7533,2.9487,0.7249,1.0,1
3.05,4.75,2.947,602.429,4.238,7.347,-2.813,5.279,4.75,2.851,5.2795,4.7497,2.8511,2.9131,0.7142,1.0,1
3.0667,4.476,2.849,602.365,4.162,7.276,-2.831,5.343,4.476,2.949,5.3434,4.4764,2.9492,2.877,0.7032,1.0,1
3.0833,4.202,2.75,602.301,4.085,7.203,-2.849,5.408,4.202,3.048,5.4075,4.202,3.0478,2.8403,0.692,1.0,1
3.1,3.927,2.651,602.237,4.007,7.13,-2.865,5.472,3.927,3.147,5.4718,3.9266,3.1466,2.8031,0.6804,1.0,1
3.1167,3.65,2.552,602.172,3.929,7.056,-2.88,5.536,3.65,3.246,5.5362,3.6502,3.2459,2.7653,0.6685,1.0,1
